Site Code,Faunal mid-depth,MDS code old,MDS code,Agatha simplex,Alaba monile,Alaba translucida,Assiminea tasmanica,Austrocochlea sp,Bankivia fasciatus,Bassina disjecta,Bittium granarium,Biv APA,Biv CP,Biv CV,Biv D,Biv EP,Biv ET,Biv EW,Biv FB,Biv FC,Biv FE,Biv FI,Biv FJ,Biv FK,Biv Z,Callista (Notocallista) diemenensis,Cardita excavata,Chemnitzia mariae,Bembicium sp,Clanculus sp_,Corbula (Varicorbula) gibba,Crassostrea gigas,Cuspidaria brazieri  (check),Diala suturalis,Dolicrossea labiata,Dosinia caerulea,Dosinia crocea (check),Dosinia victoriae,Electroma (Electroma) georgiana,Equichlamys bifrons,Fulvia tenuicostata,Fusinus novohollandiae,Gast EI,Gast EJ,Gast_ E,Gast_ EC,Gast_ ED,Gast_ EF,Gast_ EH,Gastrochaena (Gastrochaena) tasmanica,Gazameda gunnii,Guraleus alucinans,Hemitoma subemarginata,Hiatella australis,Hydrococcus brazieri,Isotriphora sp,Katelysia rhytiphora,Katelysia scalarina,Lasaea australis,Laternula spp or Periploma (Offadesma) angasi,Leionucula obliqua,Limpet A,Limpet D,Litozamia brazieri,Mactra (Electomactra) antecedens,Maoricolpus roseus,Melliteryx acupuncta,Mimachlamys asperrima,Miralda suprasculpta,Mitrella tayloriana?,Musculus sp_,Myadora sp_,Myrtea (Myrtea) mayi,Mysella cf_ lactea,Mysella donaciformis,Nassarius nigellus,Nassarius pauperatus,Nemocardium (Pratulum) thetidis,Nozeba topaziaca,Nucula coura?,Odostomia occultidens,Ostrea angasi,Paphies (Atactodea) erycinaea,Parathyasira cf resupina,Pecten fumatus,Penion mandarinus,Petricola (Velargilla) rubiginosa,Phasianotrochus rutilus,Philine angasi ,Philine sp or retusa sp?,Placamen placidum,Pyrgiscus fusca,Retusa sp_,Scissurella atkinsoni,Seila crocea,Spisula (Notospisula) trigonella,Syrnola bifasciata,Tahunanina subalata,Tellina (Macomona) margaratina,Tellina deltoides,Theora lubrica,Theora fragilis,Thracia cf myodoroides,Thyasira adelaideana (fragments?),Timoclea (Chioneryx) cardioides,Venericardia bimaculata,Venerupis largillierti,Venerupis anomala,Volvulella rostrata (check),Wallucina assimilis,Zafra atkinsoni,Zalapais inscripta? 
IPHC-25,62.5,25_>103-3,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,9,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,5,0,0,0,0,0,0,0
IPHC-25,72.5,25_>103-4,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
IPHC-27,2.5,27_1,27.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0
IPHC-27,12.5,27_2,27.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,1,3,1,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,5,4,0,0,32,3,0,0,0,0,0,0
IPHC-27,22.5,27_3,27.3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,4,4,0,0,0,0,4,0,37,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,4,0,4,0,0,0,1,0,0,3,0,0,0,0,2,3,0,4,0,0,0,0,0,2,0,5,3,0,1,73,4,0,0,0,0,0,0
IPHC-27,32.5,27_4,27.4,0,0,3,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,5,8,1,2,0,0,10,0,128,1,0,0,0,0,0,0,0,0,0,0,2,24,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,7,1,0,0,2,0,0,15,0,0,0,0,1,10,0,15,0,0,0,0,1,14,0,0,0,3,2,276,3,0,0,0,1,0,0
IPHC-27,42.5,27_5,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,6,7,0,0,0,0,3,0,43,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,14,0,0,0,1,0,0,16,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,1,4,0,0,154,2,0,0,0,0,0,0
IPHC-27,52.5,27_6,27.6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,11,9,0,0,0,0,12,0,238,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,10,0,0,0,20,0,49,6,0,0,3,0,0,23,0,0,0,0,0,2,0,2,0,0,9,0,0,5,0,0,34,0,4,191,1,0,0,0,0,0,0
IPHC-28,2.5,28_6,28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IPHC-28,12.5,28_31,28.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0
